account_id,pagerank_raw,pagerank_score,betweenness_centrality,in_degree,out_degree,total_degree,degree_ratio,total_received,total_sent,net_flow,flow_ratio,rank,risk_score,triggered_rules,risk_level,odd_hours_transactions
3791769367632016.0,0.0090435666632799,63.26220892397107,0.0,7,0,7,7.0,21884030.18,0.0,21884030.18,21884030.18,10,50,Many Unique Senders; High Betweenness Centrality; High Transaction Volume,Sedang,0
2994680443699577.0,0.0073446268879571,43.633854617874825,0.0,6,0,6,6.0,18991821.94,0.0,18991821.94,18991821.94,28,50,Many Unique Senders; High Betweenness Centrality; High Transaction Volume,Sedang,0
9696532871012268.0,0.006945531919825,39.02299227298124,0.0,6,0,6,6.0,9100731.05,0.0,9100731.05,9100731.05,34,40,Many Unique Senders; High Betweenness Centrality,Sedang,0
7837770143634957.0,0.0063465585560385,32.10287563607392,0.0,6,0,6,6.0,11102785.31,0.0,11102785.31,11102785.31,46,40,Many Unique Senders; High Betweenness Centrality,Sedang,0
482814893252880.0,0.0061984469159489,30.391698000018597,0.0,6,0,6,6.0,8349147.41,0.0,8349147.41,8349147.41,49,40,Many Unique Senders; High Betweenness Centrality,Sedang,0
7111161528098851.0,0.0067259814973154,36.4864612295236,0.0,6,0,6,6.0,13247122.63,0.0,13247122.63,13247122.63,39,40,Many Unique Senders; High Betweenness Centrality,Sedang,0
1390053293183933.0,0.0069149670352658,38.66986711094435,0.0,5,0,5,5.0,13303423.73,0.0,13303423.73,13303423.73,36,25,High Betweenness Centrality; High Transaction Volume,Sedang,0
537735158506431.0,0.0071007776789217,40.81659249844564,0.0,4,0,4,4.0,14267745.63,0.0,14267745.63,14267745.63,31,25,High Betweenness Centrality; High Transaction Volume,Sedang,0
8742967175655125.0,0.006543691023528,34.38040540688817,0.0,4,0,4,4.0,14471159.91,0.0,14471159.91,14471159.91,43,25,High Betweenness Centrality; High Transaction Volume,Sedang,0
9084700766177116.0,0.0073056775210104,43.183861048041976,0.0,5,0,5,5.0,13248387.58,0.0,13248387.58,13248387.58,29,25,High Betweenness Centrality; High Transaction Volume,Sedang,0
6697848018451462.0,0.0075021932874307,45.45426588879016,0.0,5,0,5,5.0,15257415.81,0.0,15257415.81,15257415.81,25,25,High Betweenness Centrality; High Transaction Volume,Sedang,0
8386379402654235.0,0.0084691404058086,56.62569227509311,0.0,5,0,5,5.0,20174789.74,0.0,20174789.74,20174789.74,16,25,High Betweenness Centrality; High Transaction Volume,Sedang,0
9065940139904902.0,0.0089902590516036,62.6463303010844,0.0,5,0,5,5.0,20238923.9,0.0,20238923.9,20238923.9,11,25,High Betweenness Centrality; High Transaction Volume,Sedang,0
5459910229014767.0,0.0090447018070514,63.275323576097406,0.0,5,0,5,5.0,15526832.21,0.0,15526832.21,15526832.21,9,25,High Betweenness Centrality; High Transaction Volume,Sedang,0
1390053293183933,0.003567881777037,0.0,0.0,0,4,4,0.0,0.0,9745506.25,-9745506.25,0.0,143,15,High Betweenness Centrality,Rendah,2
3602606474687234,0.003567881777037,0.0,0.0,0,3,3,0.0,0.0,6272319.75,-6272319.75,0.0,140,15,High Betweenness Centrality,Rendah,0
8727743487347143,0.003567881777037,0.0,0.0,0,5,5,0.0,0.0,11505570.86,-11505570.86,0.0,138,15,High Betweenness Centrality,Rendah,0
343244510762268,0.003567881777037,0.0,0.0,0,5,5,0.0,0.0,11510461.83,-11510461.83,0.0,141,15,High Betweenness Centrality,Rendah,1
8880592962229270,0.003567881777037,0.0,0.0,0,6,6,0.0,0.0,8653172.290000001,-8653172.290000001,0.0,142,15,High Betweenness Centrality,Rendah,0
3341232812067974,0.003567881777037,0.0,0.0,0,9,9,0.0,0.0,18166777.0,-18166777.0,0.0,139,15,High Betweenness Centrality,Rendah,3
6438156149784036,0.003567881777037,0.0,0.0,0,5,5,0.0,0.0,17345980.740000002,-17345980.740000002,0.0,150,15,High Betweenness Centrality,Rendah,2
1708053100330923,0.003567881777037,0.0,0.0,0,8,8,0.0,0.0,20144084.71,-20144084.71,0.0,144,15,High Betweenness Centrality,Rendah,2
7498941343524082,0.003567881777037,0.0,0.0,0,2,2,0.0,0.0,4392711.83,-4392711.83,0.0,145,15,High Betweenness Centrality,Rendah,0
8207151820377889,0.003567881777037,0.0,0.0,0,2,2,0.0,0.0,8518499.7,-8518499.7,0.0,146,15,High Betweenness Centrality,Rendah,0
3396360576627028,0.003567881777037,0.0,0.0,0,2,2,0.0,0.0,6018630.14,-6018630.14,0.0,147,15,High Betweenness Centrality,Rendah,0
5546659051518644,0.003567881777037,0.0,0.0,0,5,5,0.0,0.0,15844325.85,-15844325.85,0.0,148,15,High Betweenness Centrality,Rendah,2
385977034824771,0.003567881777037,0.0,0.0,0,3,3,0.0,0.0,6109845.12,-6109845.12,0.0,149,15,High Betweenness Centrality,Rendah,0
9310341316475255,0.003567881777037,0.0,0.0,0,3,3,0.0,0.0,8700446.65,-8700446.65,0.0,136,15,High Betweenness Centrality,Rendah,1
1043321819600133,0.003567881777037,0.0,0.0,0,9,9,0.0,0.0,25286548.35,-25286548.35,0.0,151,15,High Betweenness Centrality,Rendah,5
8412411824493534,0.003567881777037,0.0,0.0,0,11,11,0.0,0.0,26427925.26,-26427925.26,0.0,152,15,High Betweenness Centrality,Rendah,3
6855744431351823,0.003567881777037,0.0,0.0,0,7,7,0.0,0.0,15507178.7,-15507178.7,0.0,153,15,High Betweenness Centrality,Rendah,1
7346706562729806,0.003567881777037,0.0,0.0,0,5,5,0.0,0.0,10018015.62,-10018015.62,0.0,154,15,High Betweenness Centrality,Rendah,2
6886239240758181,0.003567881777037,0.0,0.0,0,6,6,0.0,0.0,12202153.81,-12202153.81,0.0,137,15,High Betweenness Centrality,Rendah,2
2858842474517123,0.003567881777037,0.0,0.0,0,2,2,0.0,0.0,5278459.720000001,-5278459.720000001,0.0,125,15,High Betweenness Centrality,Rendah,2
3150983930103105,0.003567881777037,0.0,0.0,0,5,5,0.0,0.0,12645626.12,-12645626.12,0.0,135,15,High Betweenness Centrality,Rendah,1
5667010651333872,0.003567881777037,0.0,0.0,0,3,3,0.0,0.0,8474263.2,-8474263.2,0.0,156,15,High Betweenness Centrality,Rendah,2
9993867749649909,0.003567881777037,0.0,0.0,0,5,5,0.0,0.0,10830046.16,-10830046.16,0.0,118,15,High Betweenness Centrality,Rendah,1
8742967175655125,0.003567881777037,0.0,0.0,0,5,5,0.0,0.0,11290807.7,-11290807.7,0.0,119,15,High Betweenness Centrality,Rendah,1
2473178108013267,0.003567881777037,0.0,0.0,0,4,4,0.0,0.0,8202039.45,-8202039.45,0.0,120,15,High Betweenness Centrality,Rendah,0
8657809134316117,0.003567881777037,0.0,0.0,0,3,3,0.0,0.0,8947738.79,-8947738.79,0.0,121,15,High Betweenness Centrality,Rendah,1
4016400524278680,0.003567881777037,0.0,0.0,0,6,6,0.0,0.0,15182262.12,-15182262.12,0.0,122,15,High Betweenness Centrality,Rendah,4
1969379237474074,0.003567881777037,0.0,0.0,0,4,4,0.0,0.0,10070111.78,-10070111.78,0.0,123,15,High Betweenness Centrality,Rendah,0
4192832764835030,0.003567881777037,0.0,0.0,0,5,5,0.0,0.0,9615652.41,-9615652.41,0.0,124,15,High Betweenness Centrality,Rendah,0
5379473834735977,0.003567881777037,0.0,0.0,0,5,5,0.0,0.0,11700412.34,-11700412.34,0.0,126,15,High Betweenness Centrality,Rendah,3
1718702621745961,0.003567881777037,0.0,0.0,0,4,4,0.0,0.0,10130960.61,-10130960.61,0.0,134,15,High Betweenness Centrality,Rendah,1
9136193990916998,0.003567881777037,0.0,0.0,0,3,3,0.0,0.0,8042240.960000001,-8042240.960000001,0.0,127,15,High Betweenness Centrality,Rendah,1
240268117758917,0.003567881777037,0.0,0.0,0,3,3,0.0,0.0,8773925.4,-8773925.4,0.0,128,15,High Betweenness Centrality,Rendah,1
4005045562386922,0.003567881777037,0.0,0.0,0,4,4,0.0,0.0,7208339.21,-7208339.21,0.0,129,15,High Betweenness Centrality,Rendah,0
2994680443699577,0.003567881777037,0.0,0.0,0,4,4,0.0,0.0,7478863.45,-7478863.45,0.0,130,15,High Betweenness Centrality,Rendah,0
7837770143634957,0.003567881777037,0.0,0.0,0,3,3,0.0,0.0,5535936.42,-5535936.42,0.0,131,15,High Betweenness Centrality,Rendah,1
482814893252880,0.003567881777037,0.0,0.0,0,7,7,0.0,0.0,20223523.98,-20223523.98,0.0,132,15,High Betweenness Centrality,Rendah,4
4586850142940196,0.003567881777037,0.0,0.0,0,2,2,0.0,0.0,7578359.68,-7578359.68,0.0,133,15,High Betweenness Centrality,Rendah,2
1615594078161849,0.003567881777037,0.0,0.0,0,1,1,0.0,0.0,3525375.46,-3525375.46,0.0,155,15,High Betweenness Centrality,Rendah,0
5273545494808313,0.003567881777037,0.0,0.0,0,4,4,0.0,0.0,11929517.71,-11929517.71,0.0,173,15,High Betweenness Centrality,Rendah,2
7193745299124190,0.003567881777037,0.0,0.0,0,7,7,0.0,0.0,22421332.17,-22421332.17,0.0,157,15,High Betweenness Centrality,Rendah,1
9324808613171274,0.003567881777037,0.0,0.0,0,5,5,0.0,0.0,15407692.43,-15407692.43,0.0,178,15,High Betweenness Centrality,Rendah,1
7116719022941318,0.003567881777037,0.0,0.0,0,6,6,0.0,0.0,10553153.67,-10553153.67,0.0,180,15,High Betweenness Centrality,Rendah,1
1247826137506068,0.003567881777037,0.0,0.0,0,4,4,0.0,0.0,7163639.88,-7163639.88,0.0,181,15,High Betweenness Centrality,Rendah,1
5411998679807935,0.003567881777037,0.0,0.0,0,1,1,0.0,0.0,2485542.94,-2485542.94,0.0,182,15,High Betweenness Centrality,Rendah,1
3872148951343320,0.003567881777037,0.0,0.0,0,1,1,0.0,0.0,1822523.66,-1822523.66,0.0,183,15,High Betweenness Centrality,Rendah,0
249947174648877,0.003567881777037,0.0,0.0,0,4,4,0.0,0.0,10725319.16,-10725319.16,0.0,184,15,High Betweenness Centrality,Rendah,2
5604945198327315,0.003567881777037,0.0,0.0,0,2,2,0.0,0.0,5995974.26,-5995974.26,0.0,185,15,High Betweenness Centrality,Rendah,1
1280598262045053,0.003567881777037,0.0,0.0,0,7,7,0.0,0.0,15465945.43,-15465945.43,0.0,186,15,High Betweenness Centrality,Rendah,1
9421047095214562,0.003567881777037,0.0,0.0,0,5,5,0.0,0.0,9806921.6,-9806921.6,0.0,187,15,High Betweenness Centrality,Rendah,1
7111161528098851,0.003567881777037,0.0,0.0,0,4,4,0.0,0.0,14718340.87,-14718340.87,0.0,188,15,High Betweenness Centrality,Rendah,1
2870831727889579,0.003567881777037,0.0,0.0,0,8,8,0.0,0.0,25316670.88,-25316670.88,0.0,189,15,High Betweenness Centrality,Rendah,2
8347382997376311,0.003567881777037,0.0,0.0,0,2,2,0.0,0.0,5231667.44,-5231667.44,0.0,190,15,High Betweenness Centrality,Rendah,1
3791769367632016,0.003567881777037,0.0,0.0,0,2,2,0.0,0.0,4265449.91,-4265449.91,0.0,191,15,High Betweenness Centrality,Rendah,0
6850542357332214,0.003567881777037,0.0,0.0,0,5,5,0.0,0.0,14743176.9,-14743176.9,0.0,192,15,High Betweenness Centrality,Rendah,0
449972787558867,0.003567881777037,0.0,0.0,0,3,3,0.0,0.0,4910648.26,-4910648.26,0.0,193,15,High Betweenness Centrality,Rendah,0
8384251354278498,0.003567881777037,0.0,0.0,0,2,2,0.0,0.0,9592017.21,-9592017.21,0.0,194,15,High Betweenness Centrality,Rendah,1
537735158506431,0.003567881777037,0.0,0.0,0,3,3,0.0,0.0,3414481.1,-3414481.1,0.0,195,15,High Betweenness Centrality,Rendah,1
985931746120047,0.003567881777037,0.0,0.0,0,5,5,0.0,0.0,14033018.57,-14033018.57,0.0,196,15,High Betweenness Centrality,Rendah,1
1493689980940244,0.003567881777037,0.0,0.0,0,4,4,0.0,0.0,8552605.25,-8552605.25,0.0,179,15,High Betweenness Centrality,Rendah,0
1759464743671369,0.003567881777037,0.0,0.0,0,5,5,0.0,0.0,9602711.54,-9602711.54,0.0,177,15,High Betweenness Centrality,Rendah,3
1249985698478961,0.003567881777037,0.0,0.0,0,8,8,0.0,0.0,20276595.02,-20276595.02,0.0,158,15,High Betweenness Centrality,Rendah,1
8516048175496513,0.003567881777037,0.0,0.0,0,5,5,0.0,0.0,19460398.5,-19460398.5,0.0,176,15,High Betweenness Centrality,Rendah,1
2904228421020539,0.003567881777037,0.0,0.0,0,3,3,0.0,0.0,4429847.62,-4429847.62,0.0,159,15,High Betweenness Centrality,Rendah,1
6413953767242388,0.003567881777037,0.0,0.0,0,6,6,0.0,0.0,10942986.39,-10942986.39,0.0,160,15,High Betweenness Centrality,Rendah,0
5581223623166587,0.003567881777037,0.0,0.0,0,4,4,0.0,0.0,3081824.93,-3081824.93,0.0,161,15,High Betweenness Centrality,Rendah,1
7468071545168087,0.003567881777037,0.0,0.0,0,4,4,0.0,0.0,9479959.51,-9479959.51,0.0,162,15,High Betweenness Centrality,Rendah,1
8248963834657871,0.003567881777037,0.0,0.0,0,7,7,0.0,0.0,19156463.97,-19156463.97,0.0,163,15,High Betweenness Centrality,Rendah,2
1607337543303654,0.003567881777037,0.0,0.0,0,4,4,0.0,0.0,2508275.48,-2508275.48,0.0,164,15,High Betweenness Centrality,Rendah,1
1850671657262849,0.003567881777037,0.0,0.0,0,8,8,0.0,0.0,20592937.0,-20592937.0,0.0,165,15,High Betweenness Centrality,Rendah,3
6773782639821465,0.003567881777037,0.0,0.0,0,2,2,0.0,0.0,2323598.74,-2323598.74,0.0,166,15,High Betweenness Centrality,Rendah,1
5192546291486528,0.003567881777037,0.0,0.0,0,8,8,0.0,0.0,19524243.74,-19524243.74,0.0,167,15,High Betweenness Centrality,Rendah,0
8851606071596966,0.003567881777037,0.0,0.0,0,2,2,0.0,0.0,6755689.94,-6755689.94,0.0,168,15,High Betweenness Centrality,Rendah,1
9696532871012269,0.003567881777037,0.0,0.0,0,7,7,0.0,0.0,14249119.2,-14249119.2,0.0,169,15,High Betweenness Centrality,Rendah,2
9663193149190586,0.003567881777037,0.0,0.0,0,6,6,0.0,0.0,8108882.6,-8108882.6,0.0,170,15,High Betweenness Centrality,Rendah,2
2717744905814770,0.003567881777037,0.0,0.0,0,7,7,0.0,0.0,20426762.53,-20426762.53,0.0,171,15,High Betweenness Centrality,Rendah,2
5022961201836675,0.003567881777037,0.0,0.0,0,3,3,0.0,0.0,12748207.37,-12748207.37,0.0,172,15,High Betweenness Centrality,Rendah,3
9084700766177115,0.003567881777037,0.0,0.0,0,4,4,0.0,0.0,9760302.03,-9760302.03,0.0,116,15,High Betweenness Centrality,Rendah,2
980500978820812,0.003567881777037,0.0,0.0,0,7,7,0.0,0.0,13492308.82,-13492308.82,0.0,174,15,High Betweenness Centrality,Rendah,1
1382675869261796,0.003567881777037,0.0,0.0,0,3,3,0.0,0.0,4729236.83,-4729236.83,0.0,175,15,High Betweenness Centrality,Rendah,1
84271094777520,0.003567881777037,0.0,0.0,0,7,7,0.0,0.0,22430314.7,-22430314.7,0.0,117,15,High Betweenness Centrality,Rendah,3
2473178108013267.0,0.0038174104157979,2.8828782528131964,0.0,2,0,2,2.0,1625197.94,0.0,1625197.94,1625197.94,99,15,High Betweenness Centrality,Rendah,0
5698169340608835,0.003567881777037,0.0,0.0,0,9,9,0.0,0.0,29443925.78,-29443925.78,0.0,115,15,High Betweenness Centrality,Rendah,3
9440640909743952.0,0.0054081777322252,21.26148410978807,0.0,5,0,5,5.0,7157728.84,0.0,7157728.84,7157728.84,73,15,High Betweenness Centrality,Rendah,0
8347382997376311.0,0.0059652437882698,27.69743321096455,0.0,3,0,3,3.0,6594174.09,0.0,6594174.09,6594174.09,55,15,High Betweenness Centrality,Rendah,0
3602606474687234.0,0.0059483345900922,27.5020762373502,0.0,3,0,3,3.0,9591063.87,0.0,9591063.87,9591063.87,56,15,High Betweenness Centrality,Rendah,0
5698169340608835.0,0.0059070015750548,27.024543675290985,0.0,3,0,3,3.0,9290971.4,0.0,9290971.4,9290971.4,57,15,High Betweenness Centrality,Rendah,0
343244510762268.0,0.0058747508864696,26.65194192014873,0.0,4,0,4,4.0,7956366.390000001,0.0,7956366.390000001,7956366.390000001,58,15,High Betweenness Centrality,Rendah,0
6773782639821465.0,0.0058334814141942,26.175143486435765,0.0,5,0,5,5.0,6921193.72,0.0,6921193.72,6921193.72,59,15,High Betweenness Centrality,Rendah,0
1249985698478961.0,0.005818929085217,26.007016120596628,0.0,5,0,5,5.0,9708313.1,0.0,9708313.1,9708313.1,60,15,High Betweenness Centrality,Rendah,0
1969379237474074.0,0.0057990832840003,25.77773170249835,0.0,3,0,3,3.0,10751630.9,0.0,10751630.9,10751630.9,61,15,High Betweenness Centrality,Rendah,0
6453521818835523.0,0.0057845972155703,25.61036986438235,0.0,3,0,3,3.0,7554691.84,0.0,7554691.84,7554691.84,62,15,High Betweenness Centrality,Rendah,0
1759464743671369.0,0.005674461049833,24.33793412863262,0.0,3,0,3,3.0,4799976.11,0.0,4799976.11,4799976.11,63,15,High Betweenness Centrality,Rendah,0
2858842474517123.0,0.0056736112013159,24.32811557706188,0.0,5,0,5,5.0,7278886.95,0.0,7278886.95,7278886.95,64,15,High Betweenness Centrality,Rendah,0
980500978820812.0,0.0056421685266804,23.96484904634633,0.0,5,0,5,5.0,10514809.26,0.0,10514809.26,10514809.26,65,15,High Betweenness Centrality,Rendah,0
9324808613171274.0,0.0056288682744073,23.8111872934286,0.0,3,0,3,3.0,9852560.35,0.0,9852560.35,9852560.35,66,15,High Betweenness Centrality,Rendah,0
1043321819600133.0,0.0056179243806212,23.684749247865643,0.0,3,0,3,3.0,6759018.89,0.0,6759018.89,6759018.89,67,15,High Betweenness Centrality,Rendah,0
8248963834657871.0,0.0055271173018782,22.635628177796782,0.0,2,0,2,2.0,6155903.93,0.0,6155903.93,6155903.93,68,15,High Betweenness Centrality,Rendah,0
5273545494808313.0,0.0055172172714407,22.52125019460304,0.0,5,0,5,5.0,8989009.99,0.0,8989009.99,8989009.99,69,15,High Betweenness Centrality,Rendah,0
4586850142940196.0,0.0054744980842864,22.027702775611107,0.0,4,0,4,4.0,6376821.85,0.0,6376821.85,6376821.85,70,15,High Betweenness Centrality,Rendah,0
8851606071596966.0,0.0054094099995772,21.275720859398273,0.0,3,0,3,3.0,7115723.199999999,0.0,7115723.199999999,7115723.199999999,71,15,High Betweenness Centrality,Rendah,0
5411998679807935.0,0.0059705154751507,27.758338570527023,0.0,3,0,3,3.0,7398945.68,0.0,7398945.68,7398945.68,54,15,High Betweenness Centrality,Rendah,0
449972787558867.0,0.0060140902692573,28.261771069996044,0.0,4,0,4,4.0,12909337.760000002,0.0,12909337.760000002,12909337.760000002,53,15,High Betweenness Centrality,Rendah,0
366909670546688.0,0.0060321558020328,28.470487519629017,0.0,4,0,4,4.0,10962350.78,0.0,10962350.78,10962350.78,52,15,High Betweenness Centrality,Rendah,0
4005045562386922.0,0.0069090657149909,38.60168741033733,0.0,4,0,4,4.0,6990493.76,0.0,6990493.76,6990493.76,37,15,High Betweenness Centrality,Rendah,0
5581223623166587.0,0.0083954279698834,55.77407067548032,0.0,3,0,3,3.0,8078878.33,0.0,8078878.33,8078878.33,17,15,High Betweenness Centrality,Rendah,0
8207151820377889.0,0.0079317662093644,50.41724905893613,0.0,5,0,5,5.0,13172914.18,0.0,13172914.18,13172914.18,21,15,High Betweenness Centrality,Rendah,0
4353462475107991.0,0.0079126173202686,50.196016272936575,0.0,2,0,2,2.0,5686408.91,0.0,5686408.91,5686408.91,22,15,High Betweenness Centrality,Rendah,0
2717744905814770.0,0.0077310301251474,48.098085636983065,0.0,4,0,4,4.0,13212580.33,0.0,13212580.33,13212580.33,24,15,High Betweenness Centrality,Rendah,0
5022961201836675.0,0.0074135249322254,44.42985412506045,0.0,4,0,4,4.0,10782295.56,0.0,10782295.56,10782295.56,27,15,High Betweenness Centrality,Rendah,0
8657809134316117.0,0.0070355053921936,40.062482441763805,0.0,5,0,5,5.0,12813576.56,0.0,12813576.56,12813576.56,33,15,High Betweenness Centrality,Rendah,0
4192832764835030.0,0.0069259255003451,38.79647350297243,0.0,3,0,3,3.0,8417823.34,0.0,8417823.34,8417823.34,35,15,High Betweenness Centrality,Rendah,0
8727743487347143.0,0.006758311528246,36.859979650277005,0.0,5,0,5,5.0,10211488.75,0.0,10211488.75,10211488.75,38,15,High Betweenness Centrality,Rendah,0
8516048175496513.0,0.0060341891796784,28.493979733683496,0.0,5,0,5,5.0,11078417.41,0.0,11078417.41,11078417.41,51,15,High Betweenness Centrality,Rendah,0
6850542357332214.0,0.0065788909893944,34.78708103578538,0.0,5,0,5,5.0,11440892.38,0.0,11440892.38,11440892.38,40,15,High Betweenness Centrality,Rendah,0
8412411824493534.0,0.0065565543905696,34.52901969535744,0.0,5,0,5,5.0,10482872.02,0.0,10482872.02,10482872.02,41,15,High Betweenness Centrality,Rendah,0
5667010651333872.0,0.0065439593945485,34.38350597675724,0.0,4,0,4,4.0,8902486.879999999,0.0,8902486.879999999,8902486.879999999,42,15,High Betweenness Centrality,Rendah,0
1586923226025634.0,0.0064909699874788,33.771303665914374,0.0,4,0,4,4.0,9802650.39,0.0,9802650.39,9802650.39,44,15,High Betweenness Centrality,Rendah,0
3341232812067974.0,0.0064488648440796,33.284850476252956,0.0,4,0,4,4.0,11463579.84,0.0,11463579.84,11463579.84,45,15,High Betweenness Centrality,Rendah,0
1615594078161849.0,0.0062982661068023,31.544938669921898,0.0,4,0,4,4.0,8316676.93,0.0,8316676.93,8316676.93,47,15,High Betweenness Centrality,Rendah,0
9663193149190586.0,0.0061635247287309,29.988231630100472,0.0,3,0,3,3.0,10053146.88,0.0,10053146.88,10053146.88,50,15,High Betweenness Centrality,Rendah,0
3150983930103105.0,0.0054093333782919,21.274835631000187,0.0,4,0,4,4.0,5419238.3100000005,0.0,5419238.3100000005,5419238.3100000005,72,15,High Betweenness Centrality,Rendah,0
7116719022941318.0,0.0054024518783255,21.19533162417271,0.0,2,0,2,2.0,3701254.12,0.0,3701254.12,3701254.12,74,15,High Betweenness Centrality,Rendah,0
9065940139904902,0.003567881777037,0.0,0.0,0,2,2,0.0,0.0,6248430.720000001,-6248430.720000001,0.0,114,15,High Betweenness Centrality,Rendah,1
4016400524278680.0,0.0052698506259711,19.66335009048321,0.0,2,0,2,2.0,4496855.38,0.0,4496855.38,4496855.38,75,15,High Betweenness Centrality,Rendah,0
240268117758917.0,0.0042733866261264,8.150906432198807,0.0,2,0,2,2.0,5594317.47,0.0,5594317.47,5594317.47,96,15,High Betweenness Centrality,Rendah,0
6886239240758181.0,0.0042484162683332,7.862416494513153,0.0,1,0,1,1.0,4551229.15,0.0,4551229.15,4551229.15,97,15,High Betweenness Centrality,Rendah,0
1718702621745961.0,0.0041889614623605,7.175517515641679,0.0,2,0,2,2.0,4824705.7299999995,0.0,4824705.7299999995,4824705.7299999995,98,15,High Betweenness Centrality,Rendah,0
6453521818835523,0.003567881777037,0.0,0.0,0,5,5,0.0,0.0,8195792.43,-8195792.43,0.0,100,15,High Betweenness Centrality,Rendah,2
1605297516136968,0.003567881777037,0.0,0.0,0,4,4,0.0,0.0,3315262.6799999997,-3315262.6799999997,0.0,101,15,High Betweenness Centrality,Rendah,1
